predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('to As pen', -0.5379968881607056), ('As pen', -0.638783723115921), ('from Denver', -0.6485925912857056)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
4	4	[('Modest o', -0.8164030909538269), ('Modest o , California', -0.9435219615697861)]	"['What U.S. state ends with a G ?', ""What is New England 's highest mountain ?""]"
3	3	[('Who was Galileo', -0.25942033529281616), ('was Galileo', -0.462793231010437)]	"['Who sang about Desmond and Molly Jones ?', ""What is Columbia Tristar 's phone number ?""]"
2	2	[('an atom', -0.8690374493598938), ('is an atom', -0.954759418964386), ('What is an atom', -0.9872925225645304)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('a state', -0.6625815033912659)]	"['What book does Holden Caulfield appear in ?', ""How many spears are there on Kenya 's flag ?""]"
5	5	[('is the Sears Building', -0.41838687658309937), ('the Sears Building', -0.5192220509052277)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
3	3	[('in which baseball team', -0.10872882604598999), ('a small interest', -0.304107666015625), ('baseball team', -0.4153045415878296), ('in which', -0.45710593461990356)]	"[""Who played the original Charlie 's Angels ?"", 'What did The Gas House Gang play ?']"
1	1	[]	"[""What army 's motto is Blood and Fire ?"", ""What country 's royal house is Bourbon-Parma ?""]"
2	2	[('turn orange', -0.8256828039884567)]	['President Bush compared Saddam Hussein to whom ?', 'What is the chemical composition of a Barbie ?']
2	2	[('is autism', -0.8576249033212662), ('What is autism', -0.9507045447826385)]	['What is the chemical composition of a Barbie ?', 'What does saliva consist of ?']
4	4	[('in 1900', -0.7935420274734497), ('a world fair', -0.8789139240980148)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
3	3	"[('is on a dime', -0.16094762086868286), ('on a dime', -0.36581796407699585), (""' s"", -0.44213223457336426), ('a dime', -0.5428912937641144)]"	"['What did The Gas House Gang play ?', ""What is Columbia Tristar 's phone number ?""]"
5	5	[('of a Yellow Labrador', -0.46059685945510864), ('a Yellow Labrador', -0.5542908608913422)]	"[""What country 's royal house is Bourbon-Parma ?"", 'What does the abbreviation cwt. ?']"
3	3	[('across the Pacific Ocean', -0.08541816473007202), ('the Pacific Ocean', -0.20250380039215088)]	"['What is DSL ?', ""Who wrote ` The Pines of Rome ' ?""]"
5	5	[('a state', -0.6741605401039124)]	['What book does Holden Caulfield appear in ?', 'What botanical marvel did Nebuchadnezzar build ?']
5	5	[('for cr ickets', -0.5652480125427246), ('cr ickets', -0.6558740139007568)]	"[""What country 's royal house is Bourbon-Parma ?"", 'What does the abbreviation cwt. ?']"
1	1	[('the highest melting point', -0.811736211180687)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
3	3	[('against polio', -0.3842574954032898), ('the vaccination', -0.4008738398551941)]	"[""Who wrote ` The Pines of Rome ' ?"", ""Who played the original Charlie 's Angels ?""]"
2	2	[('is epilepsy', -0.8543806672096252), ('What is epilepsy', -0.9482235722243786)]	['What is the chemical composition of a Barbie ?', 'President Bush compared Saddam Hussein to whom ?']
5	5	[('did the Titanic sink', -0.5117546916007996), ('the Titanic', -0.6755062639713287)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
3	3	[('to walk in space', -0.13847380876541138), ('walk in space', -0.2633312940597534), ('in space', -0.47944045066833496)]	"[""Who wrote ` The Pines of Rome ' ?"", 'Who sang about Desmond and Molly Jones ?']"
2	2	[('a bi osphere', -0.9419856183230877), ('is a bi osphere', -0.9830525107681751)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	4	[('the US', -0.8181551694869995), ('Big M', -0.8196689933538437), ('in the US', -0.9018450304865837), ('the Big M uddy', -0.9623115360736847)]	['What molecules include fluorine , sodium and magnesium ?', 'What U.S. state ends with a G ?']
2	2	[('bipolar disorder', -0.8428255319595337), ('is bipolar disorder', -0.944086704403162), ('What is bipolar disorder', -0.9841877780854702)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('is cholesterol', -0.8534047156572342), ('What is cholesterol', -0.9479094371199608)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
3	3	[('developed the Macintosh computer', -0.11770153045654297), ('the Macintosh computer', -0.22495877742767334)]	"['Who sang about Desmond and Molly Jones ?', ""Who wrote ` The Pines of Rome ' ?""]"
2	2	[('is caffeine', -0.8634882867336273), ('What is caffeine', -0.9538083411753178)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	4	[('North and South', -0.8578111231327057)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
4	4	[('John Wayne', -0.8365959227085114), ('John Wayne airport', -0.9143940731883049)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
4	4	[('the Philippines', -0.8071126639842987), ('is the Philippines in', -0.9284045025706291)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
5	5	[('at the Kentucky Derby', -0.5437389314174652), ('of the horses', -0.5945553481578827), ('the Kentucky Derby', -0.6197367906570435), ('the horses', -0.6773914992809296)]	"[""What country 's royal house is Bourbon-Parma ?"", 'How many corners does a spritsail have ?']"
4	4	[('the Rocky Mountains', -0.9097479432821274)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
2	2	[('inver te brates', -0.9377860091626644)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('of the earth', -0.6349424719810486), ('the earth', -0.6970077753067017), ('the center', -0.7015978693962097)]	"[""What country 's royal house is Bourbon-Parma ?"", 'What does the abbreviation cwt. ?']"
5	5	[('get elected as President', -0.5195597112178802), ('elected as President', -0.594851940870285), ('as President', -0.6773046851158142)]	"[""What letter does Gorbachev 's middle name start with ?"", 'What book does Holden Caulfield appear in ?']"
5	5	[('when he died', -0.5430237948894501), ('Elvis Pres ley', -0.5549537241458893), ('he died', -0.6466179192066193)]	"['What botanical marvel did Nebuchadnezzar build ?', ""What letter does Gorbachev 's middle name start with ?""]"
4	4	[('oco River', -0.8066209554672241), ('in oco River', -0.8972758874297142)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
5	5	[('from the net', -0.5634062886238098), ('the service line', -0.5700564682483673), ('the net', -0.6595990359783173), ('in tennis', -0.6631703674793243)]	['How many corners does a spritsail have ?', 'Who was the first English circumnavigator of the globe ?']
5	5	[('have per day', -0.5667870342731476), ('per day', -0.655200719833374), ('How much', -0.6569323539733887)]	['Who was the first English circumnavigator of the globe ?', 'How many Fig Newtons are there to the pound ?']
5	5	[('are there', -0.6502375602722168), ('How many', -0.6534325778484344)]	['Who was the first English circumnavigator of the globe ?', 'How many corners does a spritsail have ?']
1	1	[('called linen', -0.7870364338159561), ('what plant', -0.8127392381429672), ('from what plant', -0.8538732528686523), ('made from what plant', -0.8955970481038094)]	"[""What army 's motto is Blood and Fire ?"", ""What country 's royal house is Bourbon-Parma ?""]"
2	2	[('T ef lon', -0.9567036665976048), ('is T ef lon', -0.9872546773403883)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('y line', -0.8583255559206009)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('a shaman', -0.8658291846513748), ('is a shaman', -0.9511093460023403), ('What is a shaman', -0.985589288175106)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
1	1	[('a female wal rus', -0.9316619634628296)]	"[""Where does `` bovine '' come from ?"", ""What does Lloyd 's Lutine Bell announce ?""]"
1	1	[('tur keys', -0.8237451463937759), ('of tur keys', -0.8679626435041428)]	"[""Where does `` bovine '' come from ?"", ""What army 's motto is Blood and Fire ?""]"
5	5	[('Rip Van W', -0.5430015921592712), ('inkle sleep', -0.64964359998703)]	['What botanical marvel did Nebuchadnezzar build ?', 'Who was the first English circumnavigator of the globe ?']
2	2	[('triglycer ides', -0.8504234552383423), ('are triglycer ides', -0.9465348646044731), ('What are triglycer ides', -0.9849766632542014)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('in a gallon', -0.5659553706645966), ('a gallon', -0.6526627540588379), ('How many', -0.6615308225154877)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
