predicted_labels	true_labels	lil_interpretations	gil_interpretations
41	11	[('my card', -0.966259840875864)]	"['Help!  My card is stolen', ""My card don't work""]"
11	11	[('over a', -0.9887410122901201), ('my new card', -0.9938132762908936), ('over a week', -0.9940053294412792), ('over a week ago', -0.9969169325195253)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('a card', -0.9882225571200252), ('ordered a card', -0.9927687658928335), ('has not arrived', -0.992996602319181), ('it has not arrived', -0.9957991428673267)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('will arrive', -0.984849781729281), ('my card', -0.9849536046385765), ('my card will arrive', -0.9923558603040874)]	"[""I'm not able to verify my identity"", ""A transaction to a friend still hasn't shown up""]"
11	11	[('arrived yet', -0.9881235975772142), ('has not arrived yet', -0.9966365939471871)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
12	11	[('my card', -0.9768628226593137)]	"[""I'm not able to verify my identity"", ""A transaction to a friend still hasn't shown up""]"
11	11	[('sent me', -0.9885302213951945), ('the new card', -0.9939660173840821), ('you sent me', -0.9940613731741905)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('received my', -0.9884583475068212)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('on that', -0.986337136477232), ('waiting on that', -0.9918736889958382), ('still waiting on that', -0.9954001049045473)]	"[""A transaction to a friend still hasn't shown up"", ""My card hasn't arrived""]"
11	11	[('a week', -0.9871596014127135), ('my new card', -0.9937720415182412), ('for my new card', -0.9965750941773877)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('my card', -0.9891191991046071)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
12	11	[('a card delivery', -0.9907328132539988)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('2 weeks', -0.9705044385045767), (' What', -0.9721490275114775), ('after 2 weeks', -0.9761161589995027), ('should I do', -0.976837501861155)]	"[""My card hasn't arrived"", ""A transaction to a friend still hasn't shown up""]"
11	11	[('my new', -0.9873948488384485), ('on my new', -0.992777410428971)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('1 week', -0.9867247166112065), ('my card', -0.9872496873140335), ('after 1 week', -0.992615997325629), ('Is this ok', -0.9928700737655163)]	"['My card seems to not be working at all', ""I'm not able to verify my identity""]"
11	11	[('will arrive', -0.9870833866298199), ('than expected', -0.9873510412871838), ('it will arrive', -0.9920854563824832), ('my bank card', -0.9920950476080179), ('for my bank card', -0.9949889269191772)]	"[""The ATM wouldn't allow me to withdraw money"", 'The wrong exchange rate applied to my cash withdrawal']"
11	11	[('than expected', -0.9862120542675257), ('my card', -0.986759833060205), ('for my card', -0.9926989953964949)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('been delivered', -0.9899001177400351)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('a week', -0.9861587956547737), ('waiting a week', -0.9916576691903174), ('my new card', -0.9920605290681124), ('been waiting a week', -0.9951263864059001)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('2 weeks', -0.9849517708644271), ('after 2 weeks', -0.9905968606472015), ('arrived after 2 weeks', -0.9944321969524026)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('my card', -0.9716390715911984)]	"[""A transaction to a friend still hasn't shown up"", 'My identity is unable to be verified']"
11	11	[('the card', -0.9857011465355754), ('I ordered', -0.9859658218920231)]	"[""A transaction to a friend still hasn't shown up"", 'My identity is unable to be verified']"
11	11	[('to arrive', -0.9079545401036739), ('take to arrive', -0.9124598456546664), ('my new card', -0.9128363383933902)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	"[('2 weeks', -0.9868876794353127), ('do I do', -0.9922684300690889), ('2 weeks ago', -0.992456026840955), (""isn 't here"", -0.9925799835473299)]"	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('arrived yet', -0.9872361021116376), ('is it', -0.9877097476273775), ('has not arrived yet', -0.9955554367043078)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('my card', -0.988769406452775), ('was mailed', -0.9891867898404598), ('for my card', -0.9943228308111429), ('that was mailed', -0.9944878579117358)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('my card delivery', -0.9933418254368007), ('received it yet', -0.9935505958274007)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('so long', -0.9877780908718705), ('taking so long', -0.9937211349606514), ('my new card', -0.9938468998298049)]	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	"[('a week', -0.9869660120457411), ('do I do', -0.9925161614082754), ('a week ago', -0.9927170812152326), (""'s still not here"", -0.9961336927954108)]"	"[""The ATM wouldn't allow me to withdraw money"", ""I'm not able to verify my identity""]"
11	11	[('the card', -0.9887324701994658), ('the card you', -0.9939246377907693)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	"[('arrived yet', -0.9881942169740796), (""hasn 't arrived yet"", -0.9966788869351149)]"	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[('my new card', -0.993230402469635), ('received it yet', -0.9933389811776578)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('will arrive', -0.9863295443356037), ('my card', -0.9864058764651418)]	"[""I'm not able to verify my identity"", ""A transaction to a friend still hasn't shown up""]"
11	11	[('be delivered', -0.9891200875863433), ('my card', -0.9891869127750397), ('to be delivered', -0.9945521419867873)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('the card', -0.987780918367207), ('a way', -0.9880187213420868), ('you sent', -0.9882013406604528), ('to it', -0.9884770819917321), ('track to it', -0.9935241690836847)]	"[""A transaction to a friend still hasn't shown up"", ""The ATM wouldn't allow me to withdraw money""]"
11	11	[('two weeks', -0.9876351514831185), ('a card', -0.9876892743632197), ('received it', -0.9878886062651873), ('can I do', -0.9923614147119224), ('ordered a card', -0.9926204709336162)]	"['My card seems to not be working at all', ""My card hasn't arrived""]"
11	11	"[('my card', -0.9815322384238243), ('is lost', -0.9818602157756686), (""hasn 't arrived"", -0.9862535619176924), ('my card is lost', -0.9896687732543796)]"	"[""A transaction to a friend still hasn't shown up"", 'My card seems to not be working at all']"
11	11	[]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('the card', -0.9884968046098948), ('you sent', -0.9887813711538911), ('the card you sent', -0.9970104414969683)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
11	11	[('the card', -0.9888580897822976), ('sent me', -0.989099495112896), ('you sent me', -0.9944653939455748)]	"[""A transaction to a friend still hasn't shown up"", ""I'm not able to verify my identity""]"
13	13	[('the app', -0.9692201856523752), ('on the app', -0.9752993639558554)]	['Is it possible that my card payment was reverted?', 'i havent got my card']
13	13	[('my card', -0.9687926713377237), ('ate my card', -0.9750464297831059)]	"['A transfer is pending', ""I don't know what pending transaction means""]"
13	13	[('the new card', -0.9706735964864492)]	['i havent got my card', 'i cannot find my card PIN']
13	13	[('my card', -0.9630650468170643), ('the app', -0.9634396769106388), ('received my card', -0.9642703048884869), ('in the app', -0.9652969688177109)]	['A transfer is pending', 'i havent got my card']
13	13	[('I already have', -0.9724402502179146), ('that I already have', -0.9804272651672363)]	['Is it possible that my card payment was reverted?', 'How can i reset my passcode ?']
13	13	[('the app', -0.9720819853246212), (' What', -0.9727934654802084), ('do I do', -0.9764352105557919), ('my new card', -0.9765220526605844), ('in the app', -0.9768815003335476)]	['i havent got my card', 'I went to do a transfer and it was declined']
13	13	[('the app', -0.9717527031898499), ('to the app', -0.9776592534035444)]	['Is it possible that my card payment was reverted?', 'A transfer is pending']
13	13	[('my account', -0.9682351648807526), ('to my account', -0.9703916013240814)]	['what is a virtual and how do i get one', 'Is it possible that my card payment was reverted?']
13	13	[('found it', -0.9672545343637466), ('the system', -0.9700271300971508), ('into the system', -0.972681911662221)]	['A transfer is pending', 'There is a transaction showing up several times']
13	13	[('your cards', -0.9638518765568733), ('link it', -0.9651905186474323), ('of your cards', -0.96693379804492), ('do I link it', -0.9766787737607956)]	['A transfer is pending', 'i havent got my card']
13	13	[('a new card', -0.9696085657924414)]	"['i havent got my card', ""I don't know what pending transaction means""]"
13	13	[('an existing card', -0.9756002500653267)]	['A transfer is pending', 'How do I revert a transaction?']
13	13	[('have one already', -0.9755981098860502), ('I have one already', -0.9838898684829473)]	['i havent got my card', 'A transfer is pending']
13	13	[('the app', -0.9671968594193459), ('to the app', -0.9715036656707525)]	['Is it possible that my card payment was reverted?', 'what is a virtual and how do i get one']
13	13	[('my new card', -0.9707194231450558)]	['i havent got my card', 'A transfer is pending']
13	13	[('the card', -0.9628423564136028), ('reactive it', -0.9639024995267391), ('do that', -0.9646206218749285), ('I misplaced', -0.9648998137563467), ('to reactive it', -0.9673704095184803)]	"[""I can't use my virtual disposable card"", 'Tell me how to setup a new PIN']"
