predicted_labels	true_labels	lil_interpretations	gil_interpretations
11	11	[('my card', -0.1308297384530306)]	['I am having problems with my physical card', 'My card is not working']
11	11	[('over a', -0.34357514325529337), ('over a week', -0.34690414188662544), ('my new card', -0.34703715017531067), ('over a week ago', -0.3476719054451678)]	['My card is not working', 'My card did not work at store']
11	11	[('a card', -0.29998538736253977), ('has not arrived', -0.30379252013517544), ('ordered a card', -0.3038139429409057), ('it has not arrived', -0.304520816236618)]	"['My card is not working', ""My refund isn't showing up on my statement""]"
11	11	[('will arrive', -0.28291625156998634), ('my card', -0.2833722750656307), ('my card will arrive', -0.28806625175639056)]	"['My card is not working', ""My refund isn't showing up on my statement""]"
11	11	[('arrived yet', -0.3832844141870737), ('has not arrived yet', -0.3892239406995941)]	"[""My refund isn't showing up on my statement"", 'My card is not working']"
11	11	[('my card', -0.16521876538172364)]	['I am having problems with my physical card', 'You can use it anywhere that accepts Mastercard']
11	11	[('sent me', -0.3645563698373735), ('the new card', -0.36932615435216576), ('you sent me', -0.3693605080479756)]	"[""My PIN isn't working"", 'Your service is bad.  Close my account']"
11	11	[('received my', -0.3914117384701967)]	"['My card is not working', ""My refund isn't showing up on my statement""]"
11	11	[('on that', -0.22666276199743152), ('waiting on that', -0.2309178487630561), ('still waiting on that', -0.23193182490649633)]	['I am having problems with my physical card', 'My card is not working']
11	11	[('a week', -0.26240287255495787), ('my new card', -0.26530790561810136), ('for my new card', -0.26597353028773796)]	['My card is not working', 'My card did not work at store']
13	11	[('my card', -0.11335210129618645)]	"['I am having problems with my physical card', ""My PIN isn't working""]"
11	11	[('a card delivery', -0.16307038645027205)]	['Can I choose between Visa or MasterCard?', 'My card did not work at store']
11	11	[('2 weeks', -0.28081372450105846), (' What', -0.28113902756012976), ('after 2 weeks', -0.2832438799669035), ('should I do', -0.2833907786407508)]	"['My card is not working', ""My card don't work""]"
11	11	[('my new', -0.21499672741629183), ('on my new', -0.2179641127004288)]	['My card is not working', 'This disposable virtual card is not working']
11	11	[('my card', -0.28309238445945084), ('1 week', -0.2838766905479133), ('Is this ok', -0.2857138878898695), ('after 1 week', -0.28606669657165185)]	"['My card is not working', ""My refund isn't showing up on my statement""]"
11	11	[('will arrive', -0.15364113543182611), ('than expected', -0.154799034120515), ('it will arrive', -0.15680471720406786), ('my bank card', -0.15708841563900933), ('when it will arrive', -0.15755591355264187)]	['I am having problems with my physical card', 'Can I choose my Visa or Mastercard?']
11	11	[('my card', -0.2187433377839625), ('than expected', -0.21915458235889673), ('for my card', -0.22261063987389207)]	['I am having problems with my physical card', 'My card did not work at store']
11	11	[('been delivered', -0.4151018112897873)]	"['My card is not working', ""My refund isn't showing up on my statement""]"
11	11	[('a week', -0.3263224116526544), ('my new card', -0.32916061533614993), ('waiting a week', -0.3294257818488404), ('been waiting a week', -0.33014563551114406)]	"['My card is not working', ""My PIN isn't working""]"
11	11	[('2 weeks', -0.3183728912845254), ('after 2 weeks', -0.321954766404815), ('arrived after 2 weeks', -0.3229608434194233)]	"['My card is not working', ""My PIN isn't working""]"
11	11	[('my card', -0.19034313457086682)]	"['My card is not working', ""My PIN isn't working""]"
