predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('often affecting', -0.22293561697006226)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('ingly bleak and desperate', -0.7012901455163956)]	['astoundingly', 'ugly and mindless']
1	1	[('commercial yet inventive', -0.12035953998565674), ('a major career', -0.16890472173690796)]	['worldly-wise and very funny script', 'astoundingly']
1	1	"[(""the production ' s"", -0.07495260238647461)]"	['worldly-wise and very funny script', 'astoundingly']
0	0	[]	['astoundingly', 'ugly and mindless']
1	1	[('at young women', -0.13256800174713135), ('young women', -0.3399602174758911), ('the film', -0.3858058452606201), ('ly serious', -0.47611773014068604)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[]	['artsy and often pointless', 'ugly and mindless']
0	0	[('your ex - wife', -0.12975168228149414)]	['astoundingly', 'narcissism and']
1	1	"[('of comedy and romance', -0.011086761951446533), (""the film ' s"", -0.018371641635894775), ('comedy and romance', -0.05570864677429199), ('to know about music', -0.19887393712997437), ('easy going', -0.22437012195587158)]"	['worldly-wise and very funny script', 'astoundingly']
0	0	[('on an ig loo', -0.0455324649810791), ('to utter turkey', -0.07327258586883545), ('to jer ky', -0.07432079315185547), ('an ig loo', -0.10899841785430908), ('most of which', -0.16160261631011963)]	['astoundingly', 'preposterousness']
1	1	[('keep the film grounded', -0.02518630027770996), ('of the leads', -0.14030230045318604), ('rive ted', -0.3314143419265747), ('the leads', -0.34421151876449585), ('the film', -0.3446822166442871)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('in the same movie', -0.06949812173843384), ('of laz iness', -0.12574619054794312), ('the same movie', -0.1502019166946411), ('laz iness', -0.28247255086898804), ('the talents', -0.3204362988471985)]	['worldly-wise and very funny script', 'narcissism and']
0	0	[('a lack of humor', -0.12361079454421997), ('balance out the violence', -0.24156463146209717), ('a lack', -0.30549001693725586), ('of humor', -0.3870164155960083), ('the violence', -0.4135856628417969)]	['astoundingly', 'narcissism and']
1	1	[('an emotion', -0.4977474510669708), ('closer to pity', -0.5183234810829163), ('to pity', -0.5479109585285187)]	['astoundingly', 'worldly-wise and very funny script']
0	0	"[(""they ' re seeking"", -0.08972048759460449), (""' re seeking"", -0.17154288291931152), ('with trouble', -0.23854941129684448), ('most likely', -0.2795664668083191), ('the movie', -0.2797938585281372)]"	['preposterousness', 'astoundingly']
1	1	[('from ind ia', -0.12201577425003052), ('high drama', -0.27289438247680664), ('ind ia', -0.38427579402923584)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('had family trauma', -0.20093035697937012), ('family trauma', -0.4449199438095093), ('are raw', -0.5001013278961182), ('a nerve', -0.6346927583217621)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('ify her outrageous charm', -0.03633558750152588), ('her outrageous charm', -0.12146502733230591), ('in am  lie', -0.24388176202774048), ('liter ate', -0.3835200071334839), ('am  lie', -0.48945045471191406)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('plain old', -0.22484099864959717)]	['astoundingly', 'ugly and destructive']
0	0	[('without benefit of song', -0.015215635299682617), ('benefit of song', -0.08534431457519531), ('its best moments', -0.1109621524810791), ('high school', -0.1281043291091919), ('of grease', -0.1812039613723755)]	['ugly and destructive', 'ugly and mindless']
0	0	[('tragedy begins', -0.20873039960861206), ('humor ends', -0.26780349016189575), ('such an uneven tone', -0.2809394598007202), ('political correctness', -0.3911968171596527), ('the hypocrisy', -0.43438807129859924)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('felt like it did', 0.060049355030059814), ('like it did', -0.014528810977935791), ('it did', -0.08793407678604126), ('lasts for days', -0.11756908893585205), ('for days', -0.14317113161087036)]	['played-out', 'astoundingly']
1	0	[('did it better', -0.20128083229064941), ('en caul field', -0.2197057604789734), ('caul field', -0.2807033061981201)]	['astoundingly', 'four star performance']
1	1	[('able and intriguing', -0.12001770734786987), ('filled with surprises', -0.1215674877166748), ('is an original', -0.22816282510757446), ('read my lips', -0.2687074542045593), ('with surprises', -0.3339914083480835)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('of a man', -0.17108774185180664), ('so closely', -0.32431745529174805), ('his work', -0.36598408222198486), ('a man', -0.38818734884262085), ('the spirit', -0.40897291898727417)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('to formula romantic comedy', -0.07084399461746216), ('to make people laugh', -0.09403300285339355), ('formula romantic comedy', -0.1676955223083496), ('from stale parody', -0.17146694660186768), ('make people laugh', -0.19040203094482422)]	['preposterousness', 'astoundingly']
0	0	[('the material link', -0.3502050042152405), ('between past and present', -0.3776448369026184), ('past and present', -0.48527848720550537), ('the emotional connections', -0.5279519259929657), ('125 - year', -0.5958982408046722)]	['astoundingly', 'preposterousness']
1	1	[('those who take part', -0.023855745792388916), ('at the democratic exercise', -0.036495745182037354), ('who take part', -0.08925992250442505), ('the democratic exercise', -0.10644024610519409), ('its significance', -0.26625072956085205)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[]	['ugly and destructive', 'ugly and mindless']
0	0	[('this was god awful', -0.0462532639503479), ('was god awful', -0.10743463039398193), ('god awful', -0.21233707666397095), ('to look away', -0.4345715641975403), ('look away', -0.4864802360534668)]	['astoundingly', 'ugly and destructive']
1	1	[('the most compelling variations', -0.025762736797332764), ('the company of men', -0.042862534523010254), ('ro ger dod ger', -0.24324053525924683), ('most compelling', -0.2754937410354614), ('of men', -0.35226601362228394)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('of unintentional how lers', -0.12839418649673462), ('numerous yawn s', -0.2564014196395874), ('unintentional how lers', -0.2721078395843506), ('a handful', -0.28822875022888184), ('cross roads', -0.38867390155792236)]	['preposterousness', 'preposterous']
1	1	[]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('of god', -0.5114766955375671), ('a wary sense', -0.5757662653923035), ('its world', -0.5916545391082764), ('the grace', -0.6075149476528168), ('into its world', -0.6353884339332581)]	['worldly-wise and very funny script', 'astoundingly']
