predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('to As pen', -0.13015347719192505), ('from Denver', -0.3573680520057678), ('As pen', -0.39445167779922485)]	"['What is the brightest star visible from Earth ?', ""What was the sequel to The Moon 's Balloon ?""]"
4	4	[('Modest o', -0.8075255304574966), ('Modest o , California', -0.8802707290742546)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
3	3	[('Who was Galileo', -0.3194902539253235), ('was Galileo', -0.41434597969055176)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('an atom', -0.7459900937974453), ('is an atom', -0.7849742965772748), ('What is an atom', -0.7930808680830523)]	['What is a heuristic ?', 'What is the function of RAM ?']
5	5	[('a state', 0.00756382942199707)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
5	5	[('is the Sears Building', -0.012041151523590088), ('the Sears Building', -0.14872348308563232)]	['Define cosmology', 'What is the abbreviation for Original Equipment Manufacturer ?']
3	3	[('baseball team', -0.40888118743896484), ('in which', -0.4951346218585968), ('in which baseball team', -0.5564700365066528), ('a small interest', -0.5966016054153442)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
1	1	[]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
2	2	[('turn orange', -0.8450167290866375)]	['What are bear and bull markets ?', 'What steps can be taken to prevent diabetes ?']
2	2	[('is autism', -0.8646192029118538), ('What is autism', -0.8994075749069452)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('in 1900', -0.7898706346750259), ('a world fair', -0.8415177650749683)]	"['What explorers followed Columbus to the Americas ?', ""What country 's royal house is Bourbon-Parma ?""]"
3	3	"[('a dime', -0.22250130772590637), ('on a dime', -0.24594435095787048), (""' s"", -0.2750338912010193), ('is on a dime', -0.30023112893104553)]"	"['President Bush compared Saddam Hussein to whom ?', ""What characteristics contribute to its `` intelligence '' ?""]"
5	5	[('of a Yellow Labrador', -0.05763447284698486), ('a Yellow Labrador', -0.19964814186096191)]	['What is the chemical composition of a Barbie ?', 'Define cosmology']
3	3	[('across the Pacific Ocean', -0.2739027142524719), ('the Pacific Ocean', -0.3162612318992615)]	"['Who received the Will Rogers Award in 1989 ?', ""Who played the original Charlie 's Angels ?""]"
5	5	[('a state', 0.0006853342056274414)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
