predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('from Denver', 4.565715789794922e-05), ('to Aspen', 4.565715789794922e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
4	4	[('Mode s to', 0.00012576580047607422), ('Mode s', -0.00019609928131103516)]	['Who was Thucydides ?', 'Name the Islamic counterpart to the Red Cross']
3	3	[('was Galileo', 0.000110626220703125)]	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""Who directed `` Jaws '' ?""]"
2	2	[('is an  atom', 0.00010919570922851562), ('an  atom', 9.715557098388672e-05)]	"[""What 's the difference between sleet and freezing rain ?"", 'At what age did Rossini stop writing opera ?']"
5	5	[('a state', 5.5909156799316406e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
5	5	[('is the Sears Building', 2.47955322265625e-05), ('the Sears Building', 2.47955322265625e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
3	3	[('a small interest', 7.927417755126953e-05), ('in which baseball team', 7.927417755126953e-05), ('which baseball team', 7.927417755126953e-05)]	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""When was `` the Great Depression '' ?""]"
1	1	[]	['Who is Nicolo Paganini ?', 'Who is the Antichrist ?']
2	2	[('turn orange', -0.0002105236053466797)]	"['How many years is Johnnie Walker Black Label aged ?', ""What 's the difference between sleet and freezing rain ?""]"
2	2	[]	['How many years is Johnnie Walker Black Label aged ?', 'At what age did Rossini stop writing opera ?']
4	4	[('a world fair', 9.1552734375e-05), ('in 1900', -0.00015205144882202148)]	['Who was Thucydides ?', 'Who is the Antichrist ?']
3	3	"[("" ' s head"", 1.823902130126953e-05), ('is on a dime', 1.823902130126953e-05), ('on a dime', 1.823902130126953e-05), ('a dime', 1.811981201171875e-05)]"	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""Who directed `` Jaws '' ?""]"
5	5	[('of a Yellow Labrador', 2.2530555725097656e-05), ('a Yellow Labrador', 2.2530555725097656e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
3	3	[('across the Pacific Ocean', 3.3855438232421875e-05), ('the Pacific Ocean', 3.3855438232421875e-05)]	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""Who directed `` Jaws '' ?""]"
5	5	[('a state', 5.638599395751953e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
5	5	[('for cricket s', 3.0040740966796875e-05), ('cricket s', 2.86102294921875e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'How many years is Johnnie Walker Black Label aged ?']
1	1	[('the highest melting point', 0.00028377771377563477)]	"['Who is Nicolo Paganini ?', ""What 's the singular of dice ?""]"
3	3	[('the vaccination', 7.87973403930664e-05), ('against polio', 7.87973403930664e-05)]	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""Who directed `` Jaws '' ?""]"
2	2	[('is epilepsy', -0.0007514357566833496)]	"['How many years is Johnnie Walker Black Label aged ?', ""What 's the difference between sleet and freezing rain ?""]"
5	5	[('the  Titanic', 6.794929504394531e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
3	3	[('to walk in space', 1.1205673217773438e-05), ('walk in space', 1.1205673217773438e-05), ('in space', 1.1086463928222656e-05)]	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""Who directed `` Jaws '' ?""]"
2	2	[('is a bi osphere', 0.00011730194091796875), ('a bi osphere', 0.00010597705841064453)]	"[""What 's the difference between sleet and freezing rain ?"", 'How many years is Johnnie Walker Black Label aged ?']"
4	4	[('the Big M uddy', 9.191036224365234e-05), ('in the US', 7.95125961303711e-05), ('the US', -0.00039136409759521484), ('Big M', -0.0005174875259399414)]	['Who was Thucydides ?', 'Name the Islamic counterpart to the Red Cross']
2	2	[('is bipolar disorder', 9.644031524658203e-05), ('bipolar disorder', -0.001130819320678711)]	"[""What 's the difference between sleet and freezing rain ?"", 'How many years is Johnnie Walker Black Label aged ?']"
2	2	[('is cholesterol', -0.0009086728096008301)]	['How many years is Johnnie Walker Black Label aged ?', 'At what age did Rossini stop writing opera ?']
3	3	[('developed the Macintosh computer', 4.57763671875e-05), ('the Macintosh computer', 4.57763671875e-05)]	"[""What wrestling star became `` The Incredible Hulk '' ?"", ""Who directed `` Jaws '' ?""]"
2	2	[('is caffeine', -0.0006756186485290527)]	"[""What 's the difference between sleet and freezing rain ?"", 'How many years is Johnnie Walker Black Label aged ?']"
4	4	[('North and South Pole', -0.026971042156219482), ('North and South', -0.06776207685470581)]	['Name the Islamic counterpart to the Red Cross', 'Who is the Antichrist ?']
4	4	[('John Wayne airport', 0.00013875961303710938), ('John Wayne', -0.00038117170333862305)]	['Who was Thucydides ?', 'Name the Islamic counterpart to the Red Cross']
4	4	[('is the Philippines in', 0.00012183189392089844), ('the Philippines', -0.00013190507888793945)]	['Who was Thucydides ?', 'Name the Islamic counterpart to the Red Cross']
5	5	[('of the horses', 1.5020370483398438e-05), ('at the Kentucky Derby', 1.5020370483398438e-05), ('the Kentucky Derby', 1.5020370483398438e-05), ('the horses', 1.3947486877441406e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'How many years is Johnnie Walker Black Label aged ?']
4	4	[('the Rocky Mountains', 0.00016874074935913086)]	['Name the Islamic counterpart to the Red Cross', 'Who was Thucydides ?']
2	2	[('in vertebrate s', 0.00011909008026123047), ('vertebrate s', -0.0008413791656494141)]	"['At what age did Rossini stop writing opera ?', ""What 's the difference between sleet and freezing rain ?""]"
5	5	[('of the earth', 3.2067298889160156e-05), ('the center', 2.968311309814453e-05), ('the earth', 2.968311309814453e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'How many years is Johnnie Walker Black Label aged ?']
5	5	[('get elected as President', 1.2636184692382812e-05), ('elected as President', 1.2636184692382812e-05), ('as President', 1.1444091796875e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
5	5	[('when he died', 2.5033950805664062e-05), ('Elvis Presley', 2.4080276489257812e-05), ('he died', 2.4080276489257812e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
5	5	[('the service line', 1.537799835205078e-05), ('from the net', 1.537799835205078e-05), ('in tennis', 1.4424324035644531e-05), ('the net', 1.4185905456542969e-05)]	['How many furlongs are there in a mile-and-a-quarter recetrack ?', 'What was the occupation of Mandy Rice-Davies ?']
